num_detect,fps
7,2.8119250770809856
6,2.65335656275423
6,3.4169872405876727
7,3.2448207702989675
7,3.2737436533860964
6,3.6417360983284306
5,4.038292640422555
6,3.6882210591479545
7,3.279162021393535
6,3.537744594028106
7,3.303462555989002
7,3.1553296681802725
7,3.0977591988064814
8,2.9910133480519887
7,3.1962665679050732
7,3.1990164156986034
6,3.49436227095424
5,3.7860879926341826
6,3.4646603821588706
6,3.2854988716218174
5,3.6547528384583883
7,3.017109381350379
6,3.247986804558003
6,3.2915373441557474
6,3.1773417561381354
5,3.553191074800518
5,3.6750489795775314
4,4.122137734678975
5,3.6790881715450086
6,3.311200266518881
6,3.379799386297414
6,3.379322846965799
6,3.382781486864242
6,3.4154707820893773
5,3.757303322473119
6,3.488520488789969
7,3.18839429536196
8,2.6190926382229924
8,2.988898976265843
7,3.199209179859715
8,2.983053161920964
7,3.1588395532757594
7,3.147919739118361
7,3.2272516027367324
5,3.811118864852291
5,3.784147789402267
5,3.8356408915161113
7,3.2175888244071023
7,3.2208898810415145
7,3.139242325355815
6,3.5125820715529947
6,3.4147644886976556
6,3.2379796594886616
6,2.903299581633981
6,3.4883870248727087
8,3.022708306007936
6,3.548549591066493
6,3.522807559796878
6,3.5178437533024574
5,3.8172303514254873
5,3.8790784480741505
6,3.480981309962487
7,3.1884621612314445
8,2.9714361821583646
8,2.9611715053437013
9,2.767967552321288
9,2.7542770612404643
8,2.947992853357474
7,2.7823798038013816
7,2.91679665197711
7,2.9512806602396178
7,3.2082732877445808
8,3.0095733948311416
8,2.997706499062659
8,2.986062492035252
8,2.9781582058500877
8,2.978670035714463
7,3.1557000120380403
8,2.920277468914249
8,2.9974001546472056
8,2.9673893818457606
7,3.2426658750001933
8,3.003633603311348
8,2.9365789724258837
8,2.387167825541072
7,3.1838538539374373
8,2.9190174049630833
7,3.1271418325184266
6,3.4513265743581893
6,3.4429887638973713
7,3.259843719154585
7,3.2148094324900627
6,3.507057504383504
7,3.2489227201287703
6,3.535990895104011
7,3.1766126161606216
6,3.498857156204224
6,3.5486126387107473
6,3.4745018709093274
6,3.518590384055582
6,3.5112470637085256
5,3.720089332436934
5,3.746720740356958
5,3.812802597681213
0,7.185053978216851
1,5.86136377928548
1,6.408076585784696
1,6.598230845830626
1,6.449957249447934
2,5.48787952138273
2,5.484578519637265
2,5.476343362993622
2,5.430236743233411
2,5.5470379588803045
2,5.461148450703492
2,5.546722526604221
2,5.484879750700599
2,5.495789356446995
2,5.457630956083178
2,5.517303794088205
2,5.369066485065246
2,5.486106533147075
2,5.553060051845987
1,6.495244289585753
1,6.441695668066311
1,6.472042156265189
1,6.415604359969775
2,5.749780663274259
2,5.810508583524509
2,5.944973997939112
2,5.840152384347187
2,5.929778080638571
2,5.285301148341879
2,4.89603279660641
2,5.861150820767149
1,7.540796274821787
1,7.340784430404116
2,6.46848883672799
2,6.280101576349959
2,6.59187406881204
2,6.245566698681438
2,6.4438729263263985
2,6.36155074690477
2,6.450830211197855
